comment,toxic
"парву падлы сопляки драные","1"
"русофобствующих рашников хохлов окатышей - забанить пидорнуть ньюсач пидорашка палится","1"
"двачую шарит тред закрывать расходитесь щеглы касается","1"
"доллары перевести пускай запас чёрный день остальном жить жил особо трепаться бабки спускать всё равно лям рублей - бог весть сумма большая той ценности скажем нулевых хотя деньги одни те 1997 года особо кутить хуй выйдет конца жизни растянуть жить середнячку бомжевать получится толку куда-то вкладывать извлекать прибыль именно неплохая подушка безопасности","0"
"чому 400 онлайне хрюкана чатик дохловатый ? накрутил онлаен ?","1"
"конч долбаёб словечко соси хуй ебал твою мать","1"
"почему папича даунский чат ? традиция","1"
"настоящий мэддисон стрим придет ? убермаргинал мэддисон лета 2016 начал участвовать разговорных стримах магогом адольфом игорь линк мэддисон 2012 просто заниматься обзорами игор itpedia мэдисон 2011 2013 рандомные дяди деньги пытались сделать серьезного обзорщика игр","0"
"егора очередная обида самом деле оно лучшему - егор своим отвратительным поведением настраивает людей против движа должно произойти надеюсь сделает выводы","1"
"какие хохлы революционеры пиздец просто","1"
"простого вижу каждом регионе охота разрешена собирательство ? разрешена разрешена медведя собираюсь идти случае инспекции смогу как-то сныкать нескольких метрах дома нычка минипогребе этакий холодильник зимой ? огород-то снегом консервацию почему мнение пойду выживать базовых знаний типу какую травку какую дезинфецировать воду консервировать еду т.д воровством планируешь заниматься причём таким мелким невыгодным поиск чего-то ночном огороде темноте политическая ориентация проступает всё яснее вроде лучшей жизни собираюсь жить люди голоде других людей поедали мое воровство запасом перебивкой перекус куста обратно кунг вполне крайняя мера выживания вполне всяко питание полезнее русских регионах кого-то типо пассивный доход бабкиной пенсии пособие какое-нибудь заебись ! понял придирки сарказм разделяю вариант конечно-же буржуйка","0"
"средства безопасности обязаны базовой комплектации боинг искушает покупателей меньшей ценой именно вина боинга","0"
"галицию нахуй слать пусть пшеки забирают даром","1"
"гопник ударил потерпевшего голову ударили солдаты нато ! ! !","1"
"помню понравилось поскольку пеке 1 посмотрел щас всё забыл","0"
"либертарианство технически невыполнимо масштабах человечества подходит большинству оно существует масштабах человечества т.к власти государствами ниже люди объединились своими контрактами полного либертарианского совершенства социальные контракты нужно оформить письменно","0"
"частенько бывает вечерком напишу несколько постов оскорблениями адрес хохлов несколько хохлов ответят поржу пойду спать хохлы хотят читать правду","1"
"твиче банят слова пидарас гомофобия возможно впопич ввиду своей тупости ознакомился новыми правилами твича","1"
